CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
73864.0,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,active,5.661416098,27.43701247,inactive,,0.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O
2082.0,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,active,5.731488281,25.72342994,inactive,,0.0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
44368.0,Cc1cccc2c1cc1ccc3cccc4ccc2c1c34,active,5.794092438,60.22106662,active agonist,52.6403,153.383,CC1=C2C=C3C=CC4=C5C3=C(C2=CC=C1)C=CC5=CC=C4
176870.0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,active,5.955717307,48.28660883,inactive,,0.0,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
5889.0,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,active,6.041839684,22.93522179,inactive,,0.0,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32
76013.0,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,active,6.057149238,34.5,inconclusive antagonist,27.0563,-100.175,CC(C)(C1=CC=CC=C1)C2=CC(=C(C=C2)O)C(C)(C)C3=CC=CC=C3
7595.0,O=C(Nc1ccccc1)Nc1ccccc1,active,6.137931578,43.86667863,inactive,,0.0,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2
5273621.0,COc1cc(/C=C/c2ccccc2)oc(=O)c1,active,6.325027588,74.62102277,inactive,,0.0,COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2
5993.0,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,active,6.332838637,33.53192644,inactive,,0.0,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
71245.0,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,active,6.352213339,88.01019617,inactive,,0.0,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3
623849.0,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,active,6.352213339,21.60728234,inactive,,0.0,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O
107882.0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,active,6.436058351,63.17905263,inconclusive antagonist,21.5586,-69.8262,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl.Cl
174223.0,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,active,6.498921239,55.26539493,inactive,,0.0,CC1=C(C2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N)S(=O)(=O)O
14720269.0,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,active,6.573885256,37.28941294,inactive,,0.0,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+]
100524.0,COP(=S)(NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],active,6.60072656,75.4696699,inactive,,0.0,CC1=CC(=C(C=C1)OP(=S)(NC(C)C)OC)[N+](=O)[O-]
22830.0,COc1ccc(OC)c(N=Nc2c(O)ccc3ccccc23)c1,active,6.60072656,65.41415519,active antagonist,26.278,-66.1858,COC1=CC(=C(C=C1)OC)N=NC2=C(C=CC3=CC=CC=C32)O
5282433.0,CCCCCOc1ccccc1/C(=C\SC)n1ccnc1,active,6.682424727,75.89829068,inactive,,0.0,CCCCCOC1=CC=CC=C1/C(=C\SC)/N2C=CN=C2
5329098.0,C=c1cc(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,active,6.682424727,87.21673006,inactive,,0.0,CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C
5702746.0,CC[C@H](C)COC(=O)/C=C/c1ccc(N=Cc2ccc(OC)cc2)cc1,active,6.845014123,34.12759532,inactive,,0.0,CC[C@H](C)COC(=O)/C=C/C1=CC=C(C=C1)N=CC2=CC=C(C=C2)OC
1549133.0,CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,active,6.85896219,59.08824005,inactive,,0.0,CC(C)C[C@@H](C(=O)O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13
9935274.0,Cc1nccn1-c1ccc(Sc2cccc(C3(C(N)=O)CCOCC3)c2)cc1,active,6.85896219,29.46420935,active antagonist,20.0875,-41.6049,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)C(=O)N.CS(=O)(=O)O
6053.0,CN(C)c1ccc(N=Nc2ccccc2)cc1,active,6.865937997,71.2464954,inconclusive antagonist,54.5381,-65.4403,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2
7083.0,Cc1cc2nc3ccc(=[N+](C)C)cc-3sc2cc1N,active,6.943856577,81.20666461,active antagonist,17.4422,-77.4612,CC1=CC2=C(C=C1N)SC3=CC(=[N+](C)C)C=CC3=N2.[Cl-]
4764.0,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,active,7.078383285,24.89509588,inactive,,0.0,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
