Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,6-Methyl-5-hepten-2-one,110-93-0,CC(C)=CCCC(C)=O,DTXSID5021629,,227,227_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,3609,mg/kg,126.198,0.0286,1.5437,EFSA Group 07 Rev 5 Acute Toxicity Data Colaianni (1967) Colaianni (1967),http://www.efsa.europa.eu/en/topics/topic/flavourings,60204,ToxVal00036_ce0c73aa766d2403
,6-Methyl-5-hepten-2-one,110-93-0,CC(C)=CCCC(C)=O,DTXSID5021629,,228,228_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4100,mg/kg,126.198,0.0325,1.4883,EFSA Group 07 Rev 5 Acute Toxicity Data Keating (1972) Keating (1972),http://www.efsa.europa.eu/en/topics/topic/flavourings,60205,ToxVal00036_ce0c73aa766d2403
,"6,10-Dimethyl-9-undecen-2-one",4433-36-7,CC(CCCC(C)=O)CCC=C(C)C,DTXSID70110009,,229,229_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,5200,mg/kg,196.333,0.0265,1.5770,EFSA Group 07 Rev 5 Acute Toxicity Data Moreno (1982) Moreno (1982),http://www.efsa.europa.eu/en/topics/topic/flavourings,60206,ToxVal00036_8f8bf8339b326141
,"6,10-Dimethyl-9-undecen-2-one",4433-36-7,CC(CCCC(C)=O)CCC=C(C)C,DTXSID70110009,,230,230_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,196.333,0.0255,1.5940,EFSA Group 07 Rev 5 Acute Toxicity Data Moreno (1977) Moreno (1977),http://www.efsa.europa.eu/en/topics/topic/flavourings,60207,ToxVal00036_8f8bf8339b326141
,"6,10-Dimethyl-5,9-undecadiene-2-one",689-67-8,CC(C)=CCCC(C)=CCCC(C)=O,DTXSID1021586,,231,231_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,8650,mg/kg,194.317,0.0445,1.3515,EFSA Group 07 Rev 5 Acute Toxicity Data Moreno (1976) Moreno (1976),http://www.efsa.europa.eu/en/topics/topic/flavourings,60208,ToxVal00036_46f05de21226f616
,"6,10-Dimethyl-5,9-undecadiene-2-one",689-67-8,CC(C)=CCCC(C)=CCCC(C)=O,DTXSID1021586,,232,232_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,6800,mg/kg,194.317,0.0350,1.4560,EFSA Group 07 Rev 5 Acute Toxicity Data Hofmann (1978) Hofmann (1978),http://www.efsa.europa.eu/en/topics/topic/flavourings,60209,ToxVal00036_46f05de21226f616
,"5,9,13-Pentadecatrien-2-one, 6,10,14-trimethyl-",762-29-8,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=O,DTXSID5061087,,233,233_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,262.435,0.0191,1.7201,EFSA Group 07 Rev 5 Acute Toxicity Data deGroot et al. (1974) deGroot et al. (1974),http://www.efsa.europa.eu/en/topics/topic/flavourings,60210,ToxVal00036_5bc8f59df2731e14
,Isopropyl formate,625-55-8,CC(C)OC=O,DTXSID2027258,,234,234_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4300,mg/kg,88.1055,0.0488,1.3115,EFSA Group 07 Rev 5 Acute Toxicity Data FDA (1975) FDA (1975),http://www.efsa.europa.eu/en/topics/topic/flavourings,60211,ToxVal00036_461387582592ba29
,Isopropyl formate,625-55-8,CC(C)OC=O,DTXSID2027258,,235,235_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,2500,mg/kg,88.1055,0.0284,1.5471,EFSA Group 07 Rev 5 Acute Toxicity Data FDA (1975) FDA (1975),http://www.efsa.europa.eu/en/topics/topic/flavourings,60212,ToxVal00036_461387582592ba29
,Isopropyl formate,625-55-8,CC(C)OC=O,DTXSID2027258,,236,236_EFSA2DB,EFSA2,-,acute,human health,guinea pig,oral,=,2700,mg/kg,88.1055,0.0306,1.5136,EFSA Group 07 Rev 5 Acute Toxicity Data FDA (1975) FDA (1975),http://www.efsa.europa.eu/en/topics/topic/flavourings,60213,ToxVal00036_461387582592ba29
,Isopropyl formate,625-55-8,CC(C)OC=O,DTXSID2027258,,237,237_EFSA2DB,EFSA2,-,acute,eco,chicken,oral,=,2100,mg/kg,88.1055,0.0238,1.6228,EFSA Group 07 Rev 5 Acute Toxicity Data FDA (1975) FDA (1975),http://www.efsa.europa.eu/en/topics/topic/flavourings,60214,ToxVal00036_461387582592ba29
,Isopropyl acetate,108-21-4,CC(C)OC(C)=O,DTXSID2025478,,238,238_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,6750,mg/kg,102.132,0.0661,1.1799,EFSA Group 07 Rev 5 Acute Toxicity Data Eder et al. (1982) Eder et al. (1982),http://www.efsa.europa.eu/en/topics/topic/flavourings,60215,ToxVal00036_78cc8056e9285f04
,Isopropyl acetate,108-21-4,CC(C)OC(C)=O,DTXSID2025478,,239,239_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3000,mg/kg,102.132,0.0294,1.5320,EFSA Group 07 Rev 5 Acute Toxicity Data FDA (1975) FDA (1975),http://www.efsa.europa.eu/en/topics/topic/flavourings,60216,ToxVal00036_78cc8056e9285f04
,Isopropyl acetate,108-21-4,CC(C)OC(C)=O,DTXSID2025478,,240,240_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,6945,mg/kg,102.132,0.0680,1.1675,EFSA Group 07 Rev 5 Acute Toxicity Data Munch (1972) Munch (1972),http://www.efsa.europa.eu/en/topics/topic/flavourings,60217,ToxVal00036_78cc8056e9285f04
,"Hexadecanoic acid, 1-methylethyl ester",142-91-6,CCCCCCCCCCCCCCCC(OC(C)C)=O,DTXSID9027104,,241,241_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,40000,mg/kg,298.509,0.1340,0.8729,"EFSA Group 07 Rev 5 Acute Toxicity Data Food and Drug Research Laboratories, Inc. (1976) Food and Drug Research Laboratories, Inc. (1976)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60218,ToxVal00036_0089b6d6b1cd25f0
,"Hexadecanoic acid, 1-methylethyl ester",142-91-6,CCCCCCCCCCCCCCCC(OC(C)C)=O,DTXSID9027104,,242,242_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,8000,mg/kg,298.509,0.0268,1.5719,EFSA Group 07 Rev 5 Acute Toxicity Data Kolmar Research Center (1972) Kolmar Research Center (1972),http://www.efsa.europa.eu/en/topics/topic/flavourings,60219,ToxVal00036_0089b6d6b1cd25f0
,"Hexadecanoic acid, 1-methylethyl ester",142-91-6,CCCCCCCCCCCCCCCC(OC(C)C)=O,DTXSID9027104,,243,243_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,64000,mg/kg,298.509,0.2144,0.6688,EFSA Group 07 Rev 5 Acute Toxicity Data Bio-Toxicology Laboratories (1982) Bio-Toxicology Laboratories (1982),http://www.efsa.europa.eu/en/topics/topic/flavourings,60220,ToxVal00036_0089b6d6b1cd25f0
